State,State Code,Year,Population
Michigan,MI,2017,9973114.0
Minnesota,MN,2017,5566230.0
Mississippi,MS,2017,2988510.0
Missouri,MO,2017,6106670.0
Montana,MT,2017,1052482.0
Nebraska,NE,2017,1915947.0
Nevada,NV,2017,2969905.0
New Hampshire,NH,2017,1348787.0
New Jersey,NJ,2017,8885525.0
New Mexico,NM,2017,2091784.0
New York,NY,2017,19589572.0
North Carolina,NC,2017,10268233.0
North Dakota,ND,2017,754942.0
Ohio,OH,2017,11659650.0
Oklahoma,OK,2017,3931316.0
Oregon,OR,2017,4143625.0
Pennsylvania,PA,2017,12787641.0
Rhode Island,RI,2017,1055673.0
South Carolina,SC,2017,5021268.0
South Dakota,SD,2017,872868.0
Tennessee,TN,2017,6708799.0
Texas,TX,2017,28295273.0
Utah,UT,2017,3101042.0
Vermont,VT,2017,624344.0
Virginia,VA,2017,8463587.0
Washington,WA,2017,7423362.0
West Virginia,WV,2017,1817004.0
Wisconsin,WI,2017,5790186.0
Wyoming,WY,2017,578931.0
Puerto Rico,PR,2017,3325286.0
Alabama,AL,2018,4887681.0
Alaska,AK,2018,735139.0
Arizona,AZ,2018,7158024.0
Arkansas,AR,2018,3009733.0
California,CA,2018,39461588.0
Colorado,CO,2018,5691287.0
Connecticut,CT,2018,3571520.0
Delaware,DE,2018,965479.0
District of Columbia,DC,2018,701547.0
Florida,FL,2018,21244317.0
Georgia,GA,2018,10511131.0
Hawaii,HI,2018,1420593.0
Idaho,ID,2018,1750536.0
Illinois,IL,2018,12723071.0
Indiana,IN,2018,6695497.0
Iowa,IA,2018,3148618.0
Kansas,KS,2018,2911359.0
Kentucky,KY,2018,4461153.0
Louisiana,LA,2018,4659690.0
Maine,ME,2018,1339057.0
Maryland,MD,2018,6035802.0
Massachusetts,MA,2018,6882635.0
Michigan,MI,2018,9984072.0
Minnesota,MN,2018,5606249.0
Mississippi,MS,2018,2981020.0
Missouri,MO,2018,6121623.0
Montana,MT,2018,1060665.0
Nebraska,NE,2018,1925614.0
Nevada,NV,2018,3027341.0
New Hampshire,NH,2018,1353465.0
New Jersey,NJ,2018,8886025.0
New Mexico,NM,2018,2092741.0
New York,NY,2018,19530351.0
North Carolina,NC,2018,10381615.0
North Dakota,ND,2018,758080.0
Ohio,OH,2018,11676341.0
Oklahoma,OK,2018,3940235.0
Oregon,OR,2018,4181886.0
Pennsylvania,PA,2018,12800922.0
Rhode Island,RI,2018,1058287.0
South Carolina,SC,2018,5084156.0
South Dakota,SD,2018,878698.0
Tennessee,TN,2018,6771631.0
Texas,TX,2018,28628666.0
Utah,UT,2018,3153550.0
Vermont,VT,2018,624358.0
Virginia,VA,2018,8501286.0
Washington,WA,2018,7523869.0
West Virginia,WV,2018,1804291.0
Wisconsin,WI,2018,5807406.0
Wyoming,WY,2018,577601.0
Puerto Rico,PR,2018,3193354.0
Alabama,AL,2019,4903185.0
Alaska,AK,2019,731545.0
Arizona,AZ,2019,7278717.0
Arkansas,AR,2019,3017804.0
California,CA,2019,39512223.0
Colorado,CO,2019,5758736.0
Connecticut,CT,2019,3565287.0
Delaware,DE,2019,973764.0
District of Columbia,DC,2019,705749.0
Florida,FL,2019,21477737.0
Georgia,GA,2019,10617423.0
Hawaii,HI,2019,1415872.0
Idaho,ID,2019,1787065.0
Illinois,IL,2019,12671821.0
Indiana,IN,2019,6732219.0
Iowa,IA,2019,3155070.0
Kansas,KS,2019,2913314.0
Kentucky,KY,2019,4467673.0
Louisiana,LA,2019,4648794.0
Maine,ME,2019,1344212.0
Maryland,MD,2019,6045680.0
Massachusetts,MA,2019,6892503.0
Michigan,MI,2019,9986857.0
Minnesota,MN,2019,5639632.0
Mississippi,MS,2019,2976149.0
Missouri,MO,2019,6137428.0
Montana,MT,2019,1068778.0
Nebraska,NE,2019,1934408.0
Nevada,NV,2019,3080156.0
New Hampshire,NH,2019,1359711.0
New Jersey,NJ,2019,8882190.0
New Mexico,NM,2019,2096829.0
New York,NY,2019,19453561.0
North Carolina,NC,2019,10488084.0
North Dakota,ND,2019,762062.0
Ohio,OH,2019,11689100.0
Oklahoma,OK,2019,3956971.0
Oregon,OR,2019,4217737.0
Pennsylvania,PA,2019,12801989.0
Rhode Island,RI,2019,1059361.0
South Carolina,SC,2019,5148714.0
South Dakota,SD,2019,884659.0
Tennessee,TN,2019,6829174.0
Texas,TX,2019,28995881.0
Utah,UT,2019,3205958.0
Vermont,VT,2019,623989.0
Virginia,VA,2019,8535519.0
Washington,WA,2019,7614893.0
West Virginia,WV,2019,1792147.0
Wisconsin,WI,2019,5822434.0
Wyoming,WY,2019,578759.0
Puerto Rico,PR,2019,3193694.0
